noise_ratio,edge_type,predictive_uncertainty
0.1,clean,1.8143283128738403
0.1,clean,1.0208237171173096
0.1,clean,1.0989224910736084
0.1,clean,0.8978304862976074
0.1,clean,1.4147214889526367
0.1,clean,1.1640422344207764
0.1,clean,1.0653023719787598
0.1,clean,2.0569190979003906
0.1,clean,1.1662520170211792
0.1,clean,1.3617331981658936
0.1,clean,1.0638377666473389
0.1,clean,1.1249465942382812
0.1,clean,1.3006117343902588
0.1,clean,1.224661946296692
0.1,clean,0.9672730565071106
0.1,clean,1.0239167213439941
0.1,clean,1.1303069591522217
0.1,clean,1.6065490245819092
0.1,clean,0.8562246561050415
0.1,clean,0.8707972764968872
0.1,clean,2.018186569213867
0.1,clean,0.9689512848854065
0.1,clean,1.3633191585540771
0.1,clean,2.1322193145751953
0.1,clean,1.8628652095794678
0.1,clean,1.0408631563186646
0.1,clean,1.1888513565063477
0.1,clean,1.1047194004058838
0.1,clean,0.9153347015380859
0.1,clean,1.1451013088226318
0.1,clean,0.9320861101150513
0.1,clean,0.8980910778045654
0.1,clean,1.186420202255249
0.1,clean,1.208801507949829
0.1,clean,0.9482067823410034
0.1,clean,0.9510980844497681
0.1,clean,1.2811657190322876
0.1,clean,1.242967963218689
0.1,clean,1.0023994445800781
0.1,clean,1.1913971900939941
0.1,clean,1.566040277481079
0.1,clean,1.1168811321258545
0.1,clean,1.1525572538375854
0.1,clean,1.6081626415252686
0.1,clean,0.9844586849212646
0.1,clean,1.5744041204452515
0.1,clean,1.1548608541488647
0.1,clean,1.5233745574951172
0.1,clean,1.024653434753418
0.1,clean,1.308518648147583
0.1,clean,1.1429390907287598
0.1,clean,1.6095044612884521
0.1,clean,1.1204429864883423
0.1,clean,1.1729614734649658
0.1,clean,1.428233027458191
0.1,clean,0.9222891926765442
0.1,clean,1.1884912252426147
0.1,clean,1.4186322689056396
0.1,clean,2.693845510482788
0.1,clean,1.1030035018920898
0.1,clean,0.9068886637687683
0.1,clean,0.9353044033050537
0.1,clean,1.1859711408615112
0.1,clean,1.046186089515686
0.1,clean,1.0900537967681885
0.1,clean,1.548914909362793
0.1,clean,0.9195221662521362
0.1,clean,0.9686830043792725
0.1,clean,1.1027573347091675
0.1,clean,1.2458887100219727
0.1,clean,1.4237916469573975
0.1,clean,0.970182478427887
0.1,clean,1.0155398845672607
0.1,clean,1.2000898122787476
0.1,clean,1.7561845779418945
0.1,clean,1.1419274806976318
0.1,clean,0.9709738492965698
0.1,clean,0.9732190370559692
0.1,clean,1.0419750213623047
0.1,clean,1.0077836513519287
0.1,clean,1.705534815788269
0.1,clean,1.6780412197113037
0.1,clean,1.121050238609314
0.1,clean,1.119584560394287
0.1,clean,2.525653600692749
0.1,clean,0.938723087310791
0.1,clean,0.9127916693687439
0.1,clean,1.3435136079788208
0.1,clean,1.0539652109146118
0.1,clean,0.953558087348938
0.1,clean,1.0921621322631836
0.1,clean,1.329750657081604
0.1,clean,1.010317087173462
0.1,clean,0.9762036204338074
0.1,clean,1.2199033498764038
0.1,clean,1.1114790439605713
0.1,clean,1.0408596992492676
0.1,clean,2.7130143642425537
0.1,clean,1.1984502077102661
0.1,clean,1.5590521097183228
0.1,clean,1.0329742431640625
0.1,clean,2.673259735107422
0.1,clean,1.2531499862670898
0.1,clean,1.2135578393936157
0.1,clean,1.9511408805847168
0.1,clean,1.0585541725158691
0.1,clean,0.9507057070732117
0.1,clean,1.044061303138733
0.1,clean,1.2986314296722412
0.1,clean,1.8916003704071045
0.1,clean,1.175309419631958
0.1,clean,1.917367935180664
0.1,clean,1.078432321548462
0.1,clean,0.9517902135848999
0.1,clean,1.3591456413269043
0.1,clean,1.1969985961914062
0.1,clean,0.9449229836463928
0.1,clean,1.2493386268615723
0.1,clean,1.0894014835357666
0.1,clean,0.8839938640594482
0.1,clean,1.3220114707946777
0.1,clean,1.1621917486190796
0.1,clean,1.224492073059082
0.1,clean,1.6461814641952515
0.1,clean,1.0652754306793213
0.1,clean,1.0504791736602783
0.1,clean,1.0644073486328125
0.1,clean,0.9208781719207764
0.1,clean,1.038766860961914
0.1,clean,1.427911639213562
0.1,clean,1.1640856266021729
0.1,clean,1.396282434463501
0.1,clean,1.3599069118499756
0.1,clean,1.2517398595809937
0.1,clean,1.233504295349121
0.1,clean,1.8141746520996094
0.1,clean,1.1454417705535889
0.1,clean,1.059580683708191
0.1,clean,1.55391263961792
0.1,clean,0.9529078006744385
0.1,clean,1.255955457687378
0.1,clean,1.3770129680633545
0.1,clean,0.9892005920410156
0.1,clean,1.4938353300094604
0.1,clean,1.7431626319885254
0.1,clean,1.3478913307189941
0.1,clean,1.1040035486221313
0.1,clean,0.9315321445465088
0.1,clean,0.8192743062973022
0.1,clean,1.2140322923660278
0.1,clean,0.9911317825317383
0.1,clean,0.9282309412956238
0.1,clean,1.9304299354553223
0.1,clean,1.274169683456421
0.1,clean,1.4191128015518188
0.1,clean,0.9769691228866577
0.1,clean,1.9649748802185059
0.1,clean,1.0863748788833618
0.1,clean,0.9943203926086426
0.1,clean,1.1940157413482666
0.1,clean,1.2094855308532715
0.1,clean,0.9852840900421143
0.1,clean,0.872100830078125
0.1,clean,0.9408161640167236
0.1,clean,1.6200693845748901
